oui,manufacturer
4C:E1:73:E,Plus One Japan Limited
4C:E1:73:C,REMONDE NETWORK
48:65:EE:7,Venture Research Inc.
38:3A:21:6,"Shenzhen Smart-core Technology co., Ltd."
0C:EF:AF:0,Kenmore
38:3A:21:2,"Shenzhen HS Fiber Communication Equipment CO., LTD"
AC:64:DD:B,Groupe Citypassenger Inc
4C:E1:73:3,outpaceIO
AC:64:DD:4,8Cups
AC:64:DD:1,JSC InfoTeCS
F8:1D:78:4,Digital Imaging Technology
F8:1D:78:3,"SHANGHAI SUN TELECOMMUNICATION CO., LTD."
F8:1D:78:D,Tofino
70:F8:E7:C,Fixstars Corporation
38:3A:21:D,Colooc AB
F8:1D:78:A,AVPro Global Holdings LLC
38:3A:21:4,Dongguan Innovation Technology Co Ltd
70:F8:E7:2,VOXX International
D0:96:86:4,Houston Radar LLC
84:E0:F4:E,Scale-Tec Ltd.
84:E0:F4:2,"Hangzhou Uni-Ubi Co.,Ltd."
C0:D3:91:9,xxter bv
58:E8:76:5,"Broad Air Technology Co., LTD."
58:E8:76:B,Annapurna labs
58:E8:76:D,"Xiamen Cacamle Technology Co.,Ltd."
C0:D3:91:7,"ALNETz Co.,LTD"
F0:AC:D7:1,Intenta GmbH
F0:AC:D7:2,QUANTUM POWER SYSTEMS
58:E8:76:3,McWong International Inc
F0:AC:D7:0,"Guilin glsun Science and Tech Co.,LTD"
28:36:38:E,SCA Hygiene Products AB
F0:AC:D7:3,Med-Pat/Inn-Phone
28:36:38:B,"ShangHai Canall Information Technology Co.,Ltd"
28:36:38:8,Havells India Limited
28:36:38:7,Innovative Technology Ltd
8C:19:2D:A,TeleAlarm SA
8C:19:2D:1,"Shenzhen Huanuo Internet Technology Co.,Ltd"
D0:D9:4F:8,Apption Labs Limited
D0:D9:4F:5,Optigo Networks
D0:D9:4F:3,Beijing Yiwangxuntong Technology
D0:D9:4F:4,peiker CEE
8C:19:2D:2,DataRemote Inc.
D0:D9:4F:0,"Perfant Technology Co., Ltd"
68:91:D0:B,Altis Technology
CC:D3:1E:A,Haishu Technology LIMITED
C4:7C:8D:7,"Awiselink Co., Ltd."
C4:7C:8D:C,INOTEC Sicherheitstechnik GmbH
C4:7C:8D:5,"PASCAL Co., Ltd."
C4:7C:8D:6,"HHCC Plant Technology Co.,Ltd."
CC:D3:1E:B,Elk Products
C4:7C:8D:9,Airbus DS - SLC
E0:B6:F5:4,Agora
68:91:D0:7,Omniimpex GmbH
68:91:D0:A,WiseCube
E0:B6:F5:D,ITEL MOBILE LIMITED
E0:B6:F5:A,Folksam AB
50:FF:99:C,Goetting KG
50:FF:99:D,"Shenzhen Haipengxin Electronic Co., Ltd."
50:FF:99:B,Sichuan Dowlab Electronics Technology Co. Ltd
5C:F2:86:D,"BrightSky, LLC"
5C:F2:86:3,"beijing your wonderful control system technology co.,ltd"
5C:F2:86:5,EUROIMMUN Medizinische Labordiagnostika AG
5C:F2:86:6,VPInstruments
5C:F2:86:2,"Shanghai Notion Information Technology CO.,LTD."
5C:F2:86:C,Sunpet Industries Limited
5C:F2:86:8,"SHENZHEN HIVT TECHNOLOGY CO.,LTD"
98:6D:35:1,"Shenzhen cositea electronics technology co.,LTD"
98:6D:35:8,"Beijing 3CAVI Tech Co.,Ltd"
7C:47:7C:C,Annapurna labs
7C:47:7C:3,EyeLock LLC
38:FD:FE:E,"iSmart electronic technology co.,LTD"
38:FD:FE:7,Rademacher Geraete-Elektronik GmbH
38:FD:FE:2,"Smart Solution Technology, Inc"
78:CA:83:0,DAINCUBE
78:CA:83:1,Excelocity Inc.
78:CA:83:9,Louroe Electronics
38:B8:EB:5,Dojo-Labs Ltd
1C:88:79:2,"Airsmart System Co.,Ltd"
1C:88:79:6,Eolos IT Corp
1C:88:79:C,Accriva
1C:87:76:1,EBS Sp. z o.o.
1C:87:79:D,"Shenzhen Innovaconn Systems Co.,Ltd"
1C:87:79:C,AllThingsTalk
1C:87:79:6,"Shenzhen Shouxin Tongda Technology Co.,Ltd"
1C:87:79:5,BEIDIAN GROUP
84:39:BE:D,"Shenzhen Lidaxun Digital Technology Co.,Ltd"
84:39:BE:C,EDC Electronic Design Chemnitz GmbH
84:39:BE:A,Emotiq s.r.l.
40:A3:6B:9,PH Technical Labs
80:0A:80:2,"Sumitomo Wiring Systems, Ltd."
80:0A:80:4,"LLVISION TECHNOLOGY CO.,LTD"
80:0A:80:3,"Beijing VControl Technology Co., Ltd."
00:55:DA:2,"Beijing Connected Information Technology Co.,Ltd."
CC:1B:E0:6,IC RealTech
CC:1B:E0:D,NEWSTAR (HK) ELECTRONIC DEVELOPMENT LIMITED
CC:1B:E0:9,MobiStor Technology Inc.
CC:1B:E0:8,MDT technologies GmbH
CC:1B:E0:3,"Shenzhen Vanstor Technology Co.,Ltd"
A0:3E:6B:C,Qunar.com
00:55:DA:B,Interaxon Inc
00:55:DA:D,"Arrow Electronics,Inc."
A0:3E:6B:8,718th Research Institute of CSIC
A0:3E:6B:9,Incogniteam Ltd.
A0:3E:6B:5,"Friday Lab, UAB"
C8:8E:D1:A,AP Sensing GmbH
C8:8E:D1:6,"Shenyang Machine Tool(Group) Research & Design Institute Co., Ltd, Shanghai Branch"
C8:8E:D1:2,ROTRONIC AG
1C:21:D1:9,Dynojet Research
A0:3E:6B:2,Videx Electronics S.p.A.
1C:21:D1:5,B-Scada Inc.
DC:44:27:8,Wharton Electronics Ltd
B0:C5:CA:8,Astyx GmbH
DC:44:27:3,General Microsystems Sdn Bhd
DC:44:27:0,Suritel
B0:C5:CA:5,SYSTOVI
B0:C5:CA:1,IVK-SAYANY
78:C2:C0:B,"Wan Chao An (Beijing) Technology Co., Ltd."
78:C2:C0:0,"Shenzhen ELI Technology co.,ltd"
88:5D:90:7,"Schmidt & Co.,(H.K.)Ltd."
B4:37:D1:3,"DIMTON CO.,LTD."
74:F8:DB:5,Provision-ISR
88:5D:90:C,iRoom GmbH
88:5D:90:B,Premier Merchandises Limited
B4:37:D1:1,Alturna Networks
B4:37:D1:2,Fibersystem AB
88:5D:90:4,"Wuhan Strong Electronics Co., Ltd"
64:FB:81:8,NPG Technology S.A.
64:FB:81:5,Kay Schulze & Karsten Pohle GbR
80:7B:85:C,"SCALA Digital Technology(Ningbo) CO, LTD"
80:7B:85:B,Oliotalo Oy
80:7B:85:9,SMART ELECTRONICS NZ LIMITED
54:9A:11:1,SpearX Inc.
64:FB:81:A,Bronkhorst High-Tech BV
64:FB:81:4,Pricer AB
1C:CA:E3:1,PGA ELECTRONIC
80:E4:DA:9,Elcus
80:E4:DA:7,Shortcut Labs
64:FB:81:3,MOBILUS Inc.
2C:D1:41:E,CITA SMART SOLUTIONS LTD
1C:CA:E3:0,Private
2C:6A:6F:9,Logic IO Aps
2C:6A:6F:7,"SM DSP CO.,LTD."
98:02:D8:E,Private
90:C6:82:0,"Shenzhen Lencotion Technology Co.,Ltd"
2C:6A:6F:1,"ELKO EP, s.r.o."
2C:D1:41:A,"Fiberroad Technology Co., Ltd."
98:02:D8:8,"Simplo Technology Co.,LTD"
2C:D1:41:5,ZENIC INC.
A0:BB:3E:5,ManTech International Corporation
A0:BB:3E:1,"IVision Electronics Co.,Ltd"
A0:BB:3E:3,WiteRiver Technology LLC
28:FD:80:2,"Zhixiang Technology Co., Ltd."
98:02:D8:4,"Zedi, Inc."
A0:BB:3E:A,Filo SRL
28:FD:80:C,Airbus Defence and Space Oy
2C:26:5F:2,"Jiangsu JARI Technology Group Co., LTD"
2C:26:5F:A,Polara Engineering
0C:EF:AF:1,Goerlitz AG
0C:EF:AF:C,"GainStrong Industry Co.,Ltd"
0C:EF:AF:A,"chengdu joyotime Technology Co., Ltd."
F8:02:78:4,"CLARUS Korea Co., Ltd"
F8:02:78:B,Rosemount Analytical
A4:4F:29:0,Dermalog Identification Systems GmbH
3C:39:E7:C,"VANSTONE ELECTRONIC (BEIJING)CO,. LTD."
10:07:23:5,"BEIJING SOOALL INFORMATION TECHNOLOGY CO.,LTD"
A4:4F:29:A,HTD
A4:4F:29:B,"GUANGDONG REAL-DESIGN INTELLIGENT TECHNOLOGY CO.,LTD"
3C:39:E7:8,Martem AS
3C:39:E7:5,Attrackting AG
3C:39:E7:2,HomeWizard B.V.
E8:18:63:B,"Protek Electronics Group Co.,LTD"
B8:D8:12:4,V5 Technology Corporation
D0:22:12:0,Spirit IT B.V.
B8:D8:12:A,Kiwigrid GmbH
D0:22:12:4,Viatron GmbH
74:E1:4A:7,APM Technologies (DongGuan) Ltd
74:E1:4A:9,"Kanto Aircraft Instrument Co., Ltd."
E4:95:6E:D,"Shanghai Tieda Telecommunications Equipment Co.,LTD."
BC:66:41:6,"Intuitive Surgical, Inc"
E4:95:6E:8,PT.MLWTelecom
BC:66:41:D,"UtilLighting Co.,Ltd."
E4:95:6E:0,"SMC Networks, Inc"
58:FC:DB:4,Inforce Computing Inc.
58:FC:DB:0,Spang Power Electronics
B0:1F:81:C,Access Device Integrated Communications Corp.
BC:66:41:1,Global China Technology Limited
F4:0E:11:A,Kodpro Ltd.
58:FC:DB:9,"Hi-Target Surveying Instrument Co., Ltd."
B0:1F:81:7,"Aether Services, Inc."
7C:70:BC:7,Nomad Digital Ltd.
7C:70:BC:4,"K-Vision Technology (Shanghai), Ltd"
14:1F:BA:7,"Wisnetworks Technologies Co., Ltd."
14:1F:BA:4,BYZERO
14:1F:BA:E,POS Systema LLC
F4:0E:11:1,"BEIJING DONGJIN AERO-TECH CO., LTD"
BC:34:00:3,Altronix Corporation
7C:70:BC:0,Shanghai magcomm communication technology co ltd
BC:34:00:7,Q-PRODUCTS a. s.
A4:3B:FA:6,Recognition Systems LLC
A4:3B:FA:7,Deatronic srl
D0:76:50:4,Private
74:19:F8:8,Quest Payment Systems
74:19:F8:2,Symtop Instrument Co.
74:19:F8:9,Princip a.s.
74:19:F8:A,Tanjarine
74:19:F8:5,"Starcor Beijing Co.,Limited"
D0:76:50:8,Accumulate AB
C8:5C:E2:D,"UNILUMIN GROUP CO., LTD."
4C:EA:41:6,Gopod Group Limited
5C:F8:38:4,"Shanghai Zenchant Electornics Co.,LTD"
5C:F8:38:8,Stonex srl
4C:EA:41:5,"ZICHAN J TECHNOLOGY CO.,LTD"
5C:F8:38:A,Semsotec GmbH
5C:F8:38:1,Bergische Ingenieure GmbH
5C:F8:38:2,The idiot company
5C:F8:38:D,Watts A\S
5C:F8:38:7,"T-CHIP INTELLIGENT TECHNOLOGY CO.,LTD."
F4:1A:79:7,Avedis Zildjian Company
5C:F8:38:E,"Guangzhou Duge Technology Co.,LTD"
5C:F8:38:B,trilogik GmbH
F4:1A:79:3,"SHENZHEN XIANXIN ELECTRONICS CO., LTD."
2C:C4:4F:A,"Shenzhen OneThing Technologies Co.,Ltd."
10:06:48:5,Annapurna labs
10:06:48:7,Wilson Electronics
10:06:48:E,Kloud-12 LLC
00:8D:F4:3,Algodue Elettronica Srl
2C:C4:4F:8,"Wuxi Yikesen Intelligent Technology Co., Ltd"
2C:C4:4F:3,somon
EC:9A:0C:5,SmartRay GmbH
EC:9A:0C:3,Protect Animals with Satellites LLC
EC:9A:0C:6,Seek Thermal
00:8D:F4:E,"Relay, Inc."
EC:9A:0C:4,"Hangzhou Saicom Communication Technology Co., LTD"
EC:9A:0C:0,SHENZHEN HEXINDA SUPPLY CHAIN MANAGEMENT CO.LTD
00:8D:F4:C,Creative Security Technology Inc.
00:8D:F4:1,"Beijing Infinitesensing Technology Co.,Ltd"
EC:9A:0C:A,Fancom
C8:98:DB:6,"Quantum Co., Ltd."
C8:98:DB:A,CHAMPIN
78:39:2D:2,"Chengdu Shiketong Technology Co.,Ltd"
D0:16:F0:E,BBPOS Limited
CC:D3:1E:6,BBPOS Limited
50:48:2C:2,BBPOS Limited
78:39:2D:8,Dreamtek
78:39:2D:B,"MedRx, Inc"
78:39:2D:5,IO Master Technology
8C:55:70:8,Nayax LTD
28:F8:C6:B,3PI Tech Solutions
38:B8:EB:E,WT-Consulting SAS
E8:FF:1E:7,"NRT Technology Taiwan Co., Ltd."
28:F8:C6:A,Videndum Media Solutions Spa
28:F8:C6:4,"Beijing HengzhengTC Sci-Tech Co., Ltd"
28:F8:C6:5,Sarco Equipments PVT. LTD.
28:F8:C6:2,Intermatic AG
E8:FF:1E:4,"HMN Technologies Co., Ltd"
E8:FF:1E:D,"Shenzhen AZW Technology Co., Ltd."
E8:FF:1E:8,Annapurna labs
8C:A6:82:5,"Qstar Technology Co,Ltd"
E8:FF:1E:0,Private
8C:A6:82:A,Schok LLC
E8:FF:1E:E,"Shenzhen kstar Science & Technology Co., Ltd"
E8:FF:1E:A,Geotab Inc.
8C:A6:82:E,Texys International
8C:A6:82:8,Schok LLC
D0:A0:11:9,Vastai Technologies(Shanghai)Inc
D0:A0:11:0,"SIONYX, LLC"
78:E9:96:5,"Chuangming Futre Technology Co., Ltd."
D0:A0:11:8,Annapurna labs
78:E9:96:D,Lorch Schweisstechnik GmbH
34:C8:D6:7,"ZXCLAA Technology(Suzhou) Co.,Ltd"
78:E9:96:1,COGITO TECH COMPANY LIMITED
34:C8:D6:4,"Chengdu Decentest technology Co., Ltd."
34:C8:D6:1,"Shenzhen Xmitech Electronic Co.,Ltd"
34:C8:D6:2,Guangzhou Linkpi Technology Co. Ltd
34:C8:D6:C,Huizhou KDT Intelligent Display Technology Co. Ltd
34:C8:D6:8,Illumina
90:15:64:2,"PIN GENIE, INC.DBA LOCKLY"
04:C3:E6:E,Great Talent Technology Limited
90:15:64:3,Clinton Electronics Corporation
90:15:64:0,"Fengzhushou Co., Ltd."
90:15:64:5,Relectrify Pty Ltd
08:63:32:3,Umano Medical Inc.
08:63:32:2,innovative specialized security solutions
08:63:32:7,"SOFTWARE-AUTOMATION-CONTROL JOINT STOCK COMPANY (CADPRO., JSC)"
08:63:32:B,"ShenZhen YuanXiang Digital Technology Co., Ltd"
48:E6:63:7,"EARWEISS TECHNOLOGY (SHENZHEN) CO,. LTD"
48:E6:63:8,"Shenzhen Peicheng Technology Co., LTD."
48:E6:63:9,AceZone Aps
C4:CC:37:7,Vicinity Technologies Limited
C4:CC:37:C,CHAINTECH Technology Corp.
C4:CC:37:A,"INPAQ Technology Co., Ltd"
C4:CC:37:5,"Changzhou runningtech industrial technology Co., Ltd."
60:A4:34:D,Kaynes technology India Ltd
60:A4:34:6,Lechpol Electronics Leszek Sp.k.
60:A4:34:0,UNIQON
C4:CC:37:6,Safety System Product GmbH & Co. KG
60:A4:34:7,Drov Technologies
C8:FF:BF:A,Maestro Food Co.
60:A4:34:E,KNVISION
C8:FF:BF:9,"Shandong Wanshuo Optoelectronic Equipment Co.,Ltd"
C8:FF:BF:E,HT ITALIA SRL
C8:FF:BF:C,Density.IO
10:63:A3:6,Morgan Schaffer
10:63:A3:D,Triton Sensors
10:63:A3:B,Shen zhen shi shang mei dian zi shang wu you xian gong si
5C:87:D8:3,"Shenzhen Beiens Import and Export Co.,Ltd"
5C:87:D8:7,Tradewinds Networks Incorporated
5C:5A:4C:B,ESME SOLUTIONS
5C:5A:4C:8,"Spot AI, Inc."
5C:87:D8:B,Credo Diagnostics Biomedical Pte. Ltd. Taiwan branch(SINGAPORE)
F8:7A:39:1,"Hangzhou Jiemu Electronic Technology Co.,Ltd"
F8:7A:39:D,"Xiamen Tonmind Technology Co.,Ltd"
5C:5A:4C:7,Ace Computers
EC:5B:CD:D,ASHIDA Electronics Pvt. Ltd
EC:5B:CD:9,C&D Technologies
EC:5B:CD:1,Ingersoll Rand
EC:5B:CD:0,DONG GUAN YUNG FU ELECTRONICS LTD.
34:46:63:0,"China Drive Electric Co.,Ltd（Zhe Jiang）"
34:46:63:4,Luminys Systems Corporation
08:DA:33:C,"GITHON TECHNOLOGY CO., LTD."
08:DA:33:3,AI Storm
48:E6:C6:C,"Odin Solutions, S.L. - B73845893"
48:E6:C6:7,Macriot
48:E6:C6:B,Q-PAC
F4:20:55:2,Elehear inc.
F4:20:55:C,"Shenzhen Guangjian Technology Co.,Ltd"
F4:20:55:3,Annapurna labs
24:86:25:2,Emerson Automation FCP Kft.
F4:20:55:0,AsicFlag
F4:20:55:D,"Wuxi Sunning Smart Devices Co.,Ltd"
F4:20:55:B,Synaps Technology S.r.l.
24:86:25:5,METRO ELECTRONICS
24:86:25:A,TAS INDIA PVT LTD
24:86:25:4,"Codepoint Technologies, Inc."
48:5E:0E:3,"Shenzhen Anycon Electronics Technology Co.,Ltd"
AC:86:D1:D,Krixe Pte. Ltd.
48:5E:0E:9,Cnergee Technologies Private Limited
C4:FF:84:0,"ZHUHAI NINESTAR INFORMATION TECHNOLOGY CO., LTD."
C4:FF:84:B,Elaraby Company For Engineering Industries
EC:A7:B1:B,"Shenzhen Adreamer Elite Co.,Ltd"
EC:A7:B1:1,AKOM Technologies Private Limited
EC:A7:B1:8,"Shenzhen zhst video technology co.,ltd"
EC:A7:B1:E,"Artisight, Inc."
F4:3A:FA:3,"Jiaxing Haishijiaan Smartcity Technology CO., LTD."
F4:3A:FA:4,"Aifrutech Co.,LTD"
F4:3A:FA:1,Dspread Technology (Beijing) Inc.
C0:48:2F:D,SECURICO ELECTRONICS INDIA LTD
C0:48:2F:8,"Beijing D&S Fieldbus Technology co.,Ltd"
C0:48:2F:C,Lunar USA Inc.
C0:48:2F:A,Willstrong Solutions Private Limited
C0:48:2F:E,"Shenzhen Guan Chen Electronic Co.,LTD"
C0:48:2F:9,"Hystrone Technology (HongKong) Co., Limited"
24:A3:F0:B,"Shenzhen Woody International Trade Co., Ltd"
3C:DC:03:6,ATANS Technology Inc.
3C:DC:03:D,Vieletech
74:25:84:A,Annapurna labs
74:25:84:4,Hive Media Control
74:25:84:8,Annapurna labs
74:25:84:5,Dexter Laundry Inc.
B0:47:5E:D,Netitest
B0:47:5E:6,"DRS Sustainment Systems, Inc."
B0:47:5E:1,tintech
B0:47:5E:E,NEO.NET Jakub Koperski
B0:47:5E:C,"ikegawa co., Ltd"
AC:EF:92:1,"Dongguan Sunhans Technology Co., Ltd."
AC:EF:92:6,"shenzhen Microlumin Electronic Technology Co., Ltd."
AC:EF:92:0,CEER NATIONAL AUTOMOTIVE COMPANY
0C:47:A9:1,"Shanghai BST Electric Co.,ltd"
0C:47:A9:6,"Shenzhen Hahappylife Innovations Electronics Technology Co.,Ltd"
EC:74:CD:A,"Bosch (zhuhai) Security Systems Company, Ltd."
0C:47:A9:9,"Shanghai Sigen New Energy Technology Co., Ltd"
90:88:A9:A,"Yi Tunnel(beijing) Technology Co.,Ltd"
D0:AA:5F:0,"Hangzhou Jingtang Communication Technology Co.,Ltd."
D0:AA:5F:5,深圳麦源实业有限公司
D0:AA:5F:4,KOMER
D0:AA:5F:3,Shenzhen Liandian Communication Technology Co.LTD
A4:59:D3:1,Rheinmetall Electronics UK Ltd
58:23:BC:9,Annapurna labs
58:23:BC:5,"Shenzhen Zhixuan Network Technology Co., Ltd."
BC:DF:E1:9,Annapurna labs
2C:69:1D:4,SPEEDTECH CORP.
C0:83:59:8,Ista SE
BC:DF:E1:C,"XY Sense, Inc."
18:66:96:4,Akteena Inc
18:66:96:1,Turtle AV
18:66:96:8,"Xunmu Information Technology(Shanghai) Co.,Ltd."
18:66:96:2,"Nanjin KW technology Co.,Ltd."
18:66:96:6,"Shenzhen Safecuit Photonic Technology Co., Ltd"
18:66:96:C,Kee Tat Innovative Technology Holdings Limited
9C:E5:49:4,"Beijing Lingji Innovations technology Co,LTD."
9C:E5:49:7,ecodata solutions GmbH
9C:E5:49:0,SPEEDTECH CORP.
9C:E5:49:A,Arcteq Relays Ltd.
9C:E5:49:6,"shenzhen Huaxufeng Technology Development Co.,Ltd"
9C:E5:49:C,INNODEP INC.
04:A1:6F:A,UYAR GROUP
04:A1:6F:2,"Suzhou Lianshichuangzhi Technology Co.,Ltd"
04:A1:6F:3,Crypto4A Technologies
94:3E:FD:2,"YUNZHI IOT TECHNOLOGY CO,.LIMITED"
04:A1:6F:D,"Zettlab Innovation Technology CO.,LTD"
04:A1:6F:7,NDW Rollers B.V.
94:3E:FD:0,Brooks Instrument
94:3E:FD:6,"Shenzhen Gigaopto Technology Co., Ltd."
6C:27:C8:5,"Yuanzhong International Trade Co.,Limited"
6C:27:C8:B,Sensio AS
6C:27:C8:D,BG T&A CO.
6C:27:C8:3,IDIS Nederland BV
6C:27:C8:4,PickUp Kft.
F8:2B:E6:1,Coastal Source
F8:2B:E6:4,Wistron Corporation
F8:2B:E6:0,ViewSonic Corp
F8:2B:E6:2,"Flextronics Computing（SuZhou)Co.,LTD."
04:C9:8B:6,Annapurna labs
04:C9:8B:2,Moog Inc
38:05:25:2,"Huizhou Xunchuang Technology Co.,Ltd"
04:C9:8B:4,Annapurna labs
04:C9:8B:7,OPEX CORPORATION
04:C9:8B:A,Secury360
DC:76:C3:C,Kunshan QTech Smart-Forward Limited
38:05:25:0,Groeneveld-BEKA GmbH
38:05:25:3,"Shenzhen Meigao Electronic Equipment Co.,Ltd"
38:05:25:B,"CAMMAX OPTRONICS CO., LTD."
38:05:25:E,Private
DC:76:C3:7,"NANJING LOYST INDUSTRIAL NETWORKS CO.,LTD."
DC:76:C3:8,J&J Philippines Corporation
DC:76:C3:B,NCE Network Consulting Engineering srl
DC:76:C3:E,MORELINK
DC:76:C3:5,heinrich corporation India private limited
F0:12:04:4,"Dongguan Onyx Electronics Co., Ltd"
F0:12:04:6,"Shenzhen FENVI Technology co.,ltd"
F0:12:04:1,MetaX
2C:7A:F4:4,"Kegao Intelligent Garden Technology(Guangdong) Co.,Ltd."
2C:7A:F4:3,"Shenzhen Yitoa Digital Technology Co., Ltd."
2C:7A:F4:6,"ShangYu Auto Technology Co.,Ltd"
2C:7A:F4:8,"Xi'an PESCO Electronic Technology Co., Ltd"
FC:A2:DF:C,TiGHT AV
FC:A2:DF:3,PAVONE SISTEMI SRL
FC:A2:DF:0,Solink Corporation
FC:A2:DF:B,Lumentum
04:58:5D:B,"Chengdu Juxun Electronic Technology Co.,Ltd"
B0:CC:CE:0,Steelco SpA
B0:CC:CE:6,"MULTI-FIELD LOW TEMPERATURE TECHNOLOGY(BEIJING) CO., LTD."
B0:CC:CE:2,4MOD Technology
70:50:E7:8,"Shenzhen Dangs Science and Technology CO.,Ltd."
B0:CC:CE:8,"Shanghai CloudPrime.ai Technology Co, Ltd"
78:78:35:4,"Jiaxing Cyber Sensor Intelligent Technology Co., Ltd."
78:78:35:6,"MAICUN Information Technology(Shanghai)Co.,Ltd"
FC:E4:98:A,SATEL Ltd
FC:E4:98:E,TIH Microelectronics Technology Co. Ltd.
34:B5:F3:A,"Bethlabs(Tianjin)Technology Co.,Ltd."
34:B5:F3:0,ADDSOFT TECHNOLOGIES LIMITED
00:6A:5E:7,"Jiangsu Alstom NUG Propulsion System Co., Ltd"
00:6A:5E:8,Hilti Corporation
00:6A:5E:E,Oppermann Regelgeräte GmbH
F4:97:9D:2,"Infinite X Co., Ltd."
F4:97:9D:1,Frame the space
E0:23:3B:A,"ShenZhen Chainway Information Technology Co., Ltd."
E0:23:3B:5,IOFAC
48:08:EB:9,"Guangzhou Chuangsou Network Technology Co., Ltd."
48:08:EB:D,Silicon Dynamic Networks
50:FA:CB:C,The Scotts Company
9C:E4:50:C,XTX Markets Technologies Limited
9C:E4:50:8,"ROHOTEK(shenzhen) Technology co., LTD"
50:FA:CB:8,"VeriFone Systems(China),Inc"
F4:97:9D:8,"Smart Access Designs, LLC"
F8:2B:E6:B,"Shanghai Kanghai Information System CO.,LTD."
04:58:5D:E,"Shanghai Kanghai Information System CO.,LTD."
78:39:2D:7,"Shanghai Kanghai Information System CO.,LTD."
34:C8:D6:E,"Shanghai Kanghai Information System CO.,LTD."
10:63:A3:8,"Shanghai Kanghai Information System CO.,LTD."
8C:AE:49:E,"Shanghai Kanghai Information System CO.,LTD."
6C:93:08:5,"Shanghai Kanghai Information System CO.,LTD."
9C:E4:50:4,Strato Automation Inc.
9C:E4:50:5,Neways Advanced Applications
24:A1:0D:0,Lobaro GmbH
24:A1:0D:7,Cyon Drones
F0:40:AF:4,ROBOX SG PTE. LTD.
F0:40:AF:3,Flextronics Technologies India Private Limited
F0:40:AF:C,Rayve Innovation Corp
E8:F6:D7:7,CowManager
74:33:36:D,"ACTECK TECHNOLOGY Co., Ltd"
E8:F6:D7:E,Emergent Solutions Inc.
E8:F6:D7:8,INTEGRA Metering AG
48:08:EB:6,"Aria Networks, Inc."
74:33:36:A,"Shenzhen Jooan Technology Co., Ltd"
74:33:36:1,Shengzhen Gongjin Electronics
0C:BF:B4:0,Acula Technology Corp
58:76:07:2,"Controlway(Suzhou) Electric Co., Ltd."
58:76:07:9,Suprock Technologies
5C:5C:75:9,Spectrum FiftyNine BV
5C:5C:75:4,Bkeen International Corporated
5C:5C:75:E,Deuta America
58:AD:08:8,Mobileye Vision Technologies LTD
58:AD:08:B,Triton Sensors
B4:AB:F3:A,"Shenzhen zhuomi SmartHome Technology Co., Ltd."
B4:AB:F3:1,NTR-RRL LLC
B4:AB:F3:D,Atlas Tech Inc
B4:AB:F3:2,"Shenzhen Unicair Communication Technology Co., Ltd."
B4:AB:F3:B,Vissonic Electronics Limited
B4:AB:F3:8,Stravik Technologies LLC
80:77:86:2,"Wintec Co., Ltd"
80:77:86:1,Raycon
60:15:9F:E,MaiaSpace
60:15:9F:6,"SHENZHEN DAERXIN TECHNOLOGY CO.,LTD"
80:77:86:A,"Huizhou Jiemeisi Technology Co.,Ltd."
08:3C:03:3,GlobalXtreme
08:3C:03:C,"Dongguan Development Security Intelligent Tech Co., Ltd"
34:D7:F5:A,"Hefei Panyuan Intelligent Technology Co., Ltd"
08:3C:03:7,G-Innovations Vietnam
34:D7:F5:4,"Shenzhen Huchi Technology Co.,Ltd."
34:D7:F5:7,SOFTEL
6C:47:80:4,Battery Management Technology Corporation
6C:47:80:7,ONICON
18:C3:E4:4,"Trusted Technology Solutions, Inc."
E8:6C:C7:0,ebblo Western Europe
18:C3:E4:7,BRS Sistemas Eletrônicos
C4:82:72:6,Mantenimiento y paileria
C4:82:72:2,"Digisine Energytech Co., Ltd."
C4:82:72:9,Satways Ltd
38:B1:4E:C,"Guangzhou Sunrise Technology Co., Ltd."
38:B1:4E:6,Universal Robots A/S
38:B1:4E:9,DCL COMMUNICATION PTE. LTD.
20:B3:7F:C,EGSTON Power Electronics GmbH
20:B3:7F:B,"Shenzhen Hengbang Xinchuang Technology Co.,Ltd"
80:1D:0D:9,WARNER ELECTRONICS (I) PVT. LTD.
CC:E7:DE:5,"Chengdu Vantron Technology Co., Ltd."
CC:E7:DE:E,"Shenzhen Xingyi Intelligent Technology Co.,Ltd"
CC:E7:DE:1,"Kaze.AI Technology Co.,Ltd."
4C:6E:44:8,"Shenzhen iTayga Technology Co.,Ltd"
4C:6E:44:5,"Shenzhen Langji Guangnian Technology Co., Ltd."
18:FD:CB:3,Blahaj Studio
4C:6E:44:B,NovaFly LLC
A4:4F:3E:2,RINVENT INDUSTRIES PRIVATE LIMITED
A4:4F:3E:C,JOYAR TECHNOLOGY (HONG KONG) COMPANY LIMITED
30:49:50:A,Illucere Srl
F8:C9:D6:B,VT100 SRL
A4:4F:3E:E,"ShenZhen Chainway Information Technology Co., Ltd."
B8:4C:87:3,"Shenzhen Link-all Technology Co., Ltd"
B8:4C:87:C,SOND
B8:4C:87:B,"Beijing Yunji Technology Co., Ltd."
B8:4C:87:5,"Psync Labs, Inc."
C0:22:F1:0,RCT Power GmbH
54:91:AF:6,Star Systems International Limited
54:91:AF:7,Hong Telecom Equipment Service Limited
54:91:AF:8,"Hunan Quanying Electronics Co. , Ltd."
54:91:AF:1,4MITech
54:91:AF:B,Hyperconn Pte. ltd
50:48:2C:A,JUNG HO
